,Make,Model,Transmission,Drive_configuration,Engine_capacity,Body_type,Seating,Fuel,crsp_ksh
575,Daihatsu,ATRAI RAR SEAT LIFT,Automatic transmission,4WD,658.0,WAGON,4,PETROL,3177377.199
576,Daihatsu,ATRAI RAR SEAT LIFT,Continuously variable transmission,4WD,658.0,WAGON,4,PETROL,2959404.093
577,Daihatsu,ATRAI RS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2803469.4864
578,Daihatsu,ATRAI SLOPER,Continuously variable transmission,4WD,658.0,VAN,4,PETROL,3688775.6399999997
579,Daihatsu,ATRAI SLOPER,Automatic transmission,2WD,658.0,WAGON,4,PETROL,3454035.372
580,Daihatsu,ATRAI SLOPER,Continuously variable transmission,4WD,658.0,WAGON,4,PETROL,3688775.6399999997
581,Daihatsu,ATRAI SLOPER,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,3437268.21
582,Daihatsu,ATRAI SLOPER,Automatic transmission,4WD,658.0,WAGON,4,PETROL,3437268.21
583,Daihatsu,ATRAI SLOPER WITH REAR SEAT,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,3267919.8738
584,Daihatsu,ATRAI WAGON CUSTOM TURBO RS,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2371356.2476332
585,Daihatsu,ATRAI WAGON CUSTOM TURBO RS LIMITED,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2565375.786
586,Daihatsu,ATRAI WAGON RS,Automatic transmission,2WD,658.0,WAGON,4,PETROL,2821913.3646
587,Daihatsu,ATRAI WAGON RS,Automatic transmission,2WD,658.0,WAGON,4,PETROL,2565375.786
588,Daihatsu,"BOON  STYLE""SA III""",Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2600586.8262000005
589,Daihatsu,"BOON  X""L SA III""",Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2305484.775
590,Daihatsu,BOON CILQ,Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2632444.434
